x,y,z,is_anomaly
0.9879,0.1702,1.0805,0
-0.1502,-0.8412,0.0637,0
-0.1096,-0.3333,0.4699,0
0.5215,-0.0421,0.2534,0
0.9182,-0.5535,-0.5241,0
0.5415,-0.0594,-0.0320,0
0.8496,-0.6070,-0.1822,0
0.2688,-0.3772,-0.3128,0
0.7645,-0.3476,-0.3469,0
0.0768,-0.0564,0.3376,0
0.8049,-0.2167,0.4550,0
0.6037,-0.2604,0.0804,0
-0.4282,0.2983,0.1721,0
0.6046,-0.2767,-0.0520,0
0.2462,-0.1316,0.3732,0
0.3443,-0.1179,-0.2371,0
-0.1856,-0.4864,-0.4582,0
0.8107,-0.4075,-0.2496,0
0.2077,0.1730,0.2211,0
0.3005,-0.1294,0.7463,0
0.7902,-0.5712,0.6093,0
0.3846,0.0423,0.2244,0
-0.1292,-0.5719,-0.2181,0
0.7653,-0.4299,0.4016,0
0.0666,-0.5881,-0.3152,0
0.6595,0.0481,-0.0374,0
0.8017,-0.5102,0.4582,0
0.6478,-0.4824,0.7296,0
0.6773,-0.6088,-0.0015,0
0.4167,-0.4713,-0.0994,0
0.6800,-0.0575,0.2767,0
0.3216,-0.5788,0.0102,0
0.3289,0.2445,-0.3211,0
-0.1349,-0.1005,0.3589,0
0.5162,-0.1834,0.3848,0
-0.2599,-0.3776,0.4191,0
0.7492,-0.5476,-0.1800,0
0.4893,-0.2945,0.1344,0
1.1270,-0.2705,-0.5978,0
0.5273,0.1323,-0.0172,0
0.0823,-0.2528,0.2290,0
1.1731,-0.3106,0.5392,0
0.9357,-0.0785,0.0630,0
0.2139,-0.6481,0.4759,0
1.1796,0.1432,0.0642,0
0.9560,-0.4693,-0.3055,0
0.7338,-0.6424,-0.4158,0
0.3050,-0.3264,0.0274,0
0.9303,-0.4298,0.3907,0
0.7725,0.1747,-0.4060,0
0.5579,-0.6474,0.4414,0
0.8584,0.2934,0.5676,0
0.7675,-0.1371,-0.2218,0
0.8522,-0.1235,-0.0728,0
0.3238,-0.3560,-0.2445,0
0.2239,-0.3436,-0.5623,0
0.9400,0.1108,-0.1092,0
0.1496,-0.3457,-0.0984,0
-0.3168,-0.4908,0.1458,0
0.8429,0.0647,-0.1840,0
0.3253,-0.3279,0.8670,0
0.8362,-0.2257,-0.2748,0
0.2575,-0.6926,0.2169,0
0.1296,-0.5913,-0.2807,0
0.3865,-0.3831,0.4127,0
0.4990,0.0312,0.1436,0
0.5385,0.0313,-0.2005,0
0.1440,0.0685,0.5230,0
0.5908,-0.4879,0.0442,0
0.5710,-0.6750,-0.6215,0
0.2522,-0.2790,0.5555,0
-0.3391,-0.0181,0.4933,0
0.6857,-0.5288,0.0923,0
0.5335,-0.3397,0.2595,0
0.6875,0.1200,-0.3008,0
0.3090,-0.0771,-0.3209,0
-0.3275,-0.3775,-0.5726,0
0.0349,-1.0555,0.7295,0
0.7262,-0.5423,0.0925,0
0.1413,-0.3650,-0.1828,0
-0.2332,-0.2590,0.0976,0
0.3787,-0.4766,0.2579,0
0.9020,-0.2263,-0.4672,0
0.6764,-0.2996,-0.0507,0
0.6459,-0.5178,0.6848,0
0.4744,-0.0687,0.5747,0
0.3350,-0.0793,-0.3762,0
0.4960,-0.4136,-0.0251,0
0.3105,-0.6759,-0.3422,0
1.1726,0.0262,-0.5948,0
0.5737,0.1808,-0.0406,0
0.8820,-0.1948,0.3761,0
0.4301,-0.0960,0.4910,0
0.1085,-0.6148,-0.1609,0
0.3109,0.1739,0.4832,0
0.4752,-0.6845,-0.2645,0
0.4639,0.0115,0.1571,0
0.3894,-0.0195,0.0637,0
0.4685,-0.8325,0.3872,0
0.9534,-0.4410,-0.1079,0
-0.3563,0.0683,-0.0819,0
0.2431,-0.4836,-0.0401,0
0.0786,0.3081,0.4675,0
0.3703,0.0543,-0.1750,0
0.4637,0.2072,0.5170,0
0.4644,-0.2501,0.0636,0
